id	BP101	BP155	BP186	BP278	BP315	BP331
TIGR02519	571	500	15	933	3690	1086
TIGR02518	44	30	8	16	42	10
TIGR00768	77	91	4	53	273	70
TIGR02422	16	17	0	0	2	4
TIGR00767	708	718	62	751	2457	886
TIGR00764	306	288	11	605	2091	702
TIGR00765	261	267	7	331	1214	414
TIGR02517	1037	894	32	1552	5940	1843
TIGR02516	585	532	16	1029	3976	1150
TIGR02515	866	802	24	1474	5399	1740
TIGR00761	528	476	32	805	2903	1015
TIGR03020	27	26	2	21	58	33
TIGR03022	729	676	52	878	3414	1138
TIGR03023	846	752	56	1106	4854	1395
TIGR03025	869	787	58	1117	4861	1403
TIGR03026	926	907	34	1383	4917	1748
TIGR03027	303	230	24	344	1128	376
TIGR03028	176	173	19	266	1037	288
TIGR03029	104	93	5	190	1083	185
TIGR02426	377	290	26	417	1328	498
TIGR00651	33	39	6	97	385	57
TIGR01963	9911	8438	430	12399	44313	16334
TIGR00717	1224	1153	69	1266	4314	1765
TIGR01961	0	0	0	16	8	12
TIGR01960	174	239	17	280	452	143
TIGR01967	1380	1138	48	1599	5388	2009
TIGR01966	469	370	53	731	2491	910
TIGR01965	91	53	13	28	88	25
TIGR02541	235	238	16	397	1393	424
TIGR01969	677	584	30	736	2656	877
TIGR01968	647	547	26	702	2493	845
TIGR03129	29	53	7	18	51	12
TIGR02544	74	53	3	140	448	153
TIGR03127	199	162	20	232	591	239
TIGR00612	245	283	18	356	1261	450
TIGR00613	119	99	7	256	912	319
TIGR00611	284	287	22	424	1569	552
TIGR00616	156	195	4	24	177	36
TIGR02546	2418	2372	417	2649	7373	3303
TIGR00614	550	460	34	696	2380	821
TIGR00615	127	166	13	288	860	320
TIGR02466	9	12	19	4	12	2
TIGR00618	353	325	9	450	1279	645
TIGR00619	279	247	4	473	1399	597
TIGR02463	52	20	0	2	2	6
TIGR02461	52	20	0	2	2	6
TIGR03503	17	22	0	36	182	21
TIGR03502	38	29	2	54	214	22
TIGR00718	0	3	0	5	57	12
TIGR03231	3	5	2	27	62	20
TIGR03232	6	8	2	34	87	43
TIGR03235	676	559	33	851	2390	829
TIGR03239	118	78	11	148	310	117
TIGR00906	304	288	9	425	1218	446
TIGR00904	195571	139377	79417	295155	400702	157477
TIGR00902	293	278	9	411	1409	528
